P1,P2,DC,Err,res,meter
53080500,53080600,47.74605264866949,0.0067331493472798,2.8457627117006723e-05,G169
53080600,53080700,-99.16147160736372,0.007081418397385983,0.001957804948645503,G169
53080700,53080800,5.815730945132742,0.0071866681328134185,0.0013987435532021308,G169
53080800,53080900,-38.837938174907435,0.007404853768489401,0.005464944189029097,G169
53080900,53081001,11.475623269886285,0.007712562960889692,-0.005456428679302405,G169
53081001,53080900,-11.475623269886285,0.007712562960889692,0.0005708213553479169,G169
53080900,53080800,38.837938174907435,0.007404853768489401,0.0066775632363871296,G169
53080800,53080700,-5.815730945132742,0.0071866681328134185,-0.0022167990770567414,G169
53080700,53080600,99.16147160736372,0.007081418397385983,-0.008108957514451731,G169
53080600,53080500,-47.74605264866949,0.0067331493472798,0.0039329722155159175,G169
53080500,53082200,-19.980845287478587,0.0064143300603759995,-0.004278489311918321,G169
53082200,53082100,81.19143372378717,0.0060934817180138415,0.0039947803679751814,G169
53082100,53082001,-19.56888165283472,0.005377063037174701,-0.0009914746074848324,G169
53014101,53015401,42.59606005662724,0.0031332367437071095,0.0006661506305079001,G169
53015401,53015700,-46.34320923143403,0.0047474759226528804,0.0037383426746515624,G169
53015700,53016001,-21.278375131851362,0.00570833376936709,0.005191204797622362,G169
53016001,53016300,20.942356808841765,0.006320911007480744,-0.006288895340286871,G169
53016300,53016400,-25.534601993943085,0.006682413765926809,-0.005885271410619453,G169
53016400,53016501,21.929511578808558,0.006832709032733181,-0.0069927646731891,G169
53016501,53014502,-33.01944429743517,0.0067847780398346,0.008652593267832742,G169
53014502,53080100,0.21845100643008664,0.006878221292469028,-0.0009485156157950647,G169
53080100,53080201,21.57693924659128,0.007111611573275612,-0.00787588759505553,G169
53080201,53080300,-11.8094654533746,0.007160441265542283,0.008689794213498914,G169
53080300,53080400,19.321017798273203,0.007028581864918101,0.004047678370142194,G169
53080400,53080500,-23.89205735531874,0.006705825644676073,-0.0018614981738593883,G169
53080500,53080400,23.89205735531874,0.006705825644676073,-0.0027211232252852824,G169
53080400,53080300,-19.321017798273203,0.007028581864918101,-0.0027822497865876983,G169
53080300,53080201,11.8094654533746,0.007160441265542283,0.004122977538319361,G169
53080201,53080100,-21.57693924659128,0.007111611573275612,-0.000681132478337787,G169
53080100,53014502,-0.21845100643008664,0.006878221292469028,-0.0027641417261659584,G169
53014502,53016501,33.01944429743517,0.0067847780398346,0.0005610133266387152,G169
53016501,53016400,-21.929511578808558,0.006832709032733181,0.0024542185171547715,G169
53016400,53016300,25.534601993943085,0.006682413765926809,-5.176128648187728e-05,G169
53016300,53016001,-20.942356808841765,0.006320911007480744,0.00269270977015168,G169
53016001,53015700,21.278375131851362,0.00570833376936709,-0.0007763815329582258,G169
53015700,53015401,46.34320923143403,0.0047474759226528804,-0.001111557867027102,G169
53015401,53014101,-42.59606005662724,0.0031332367437071095,0.0010220556513118595,G169
53014103,53083800,-11.409236863956835,0.004156352264421592,-0.007644304802283841,G169
53083800,53083900,12.141955406107087,0.005238585607468004,0.0062741853384054025,G169
53083900,53085100,19.655869857270346,0.0058462114371842875,0.002552416965428961,G169
53085100,53084001,-150.51535485188097,0.006665786819198914,-0.006130371711378757,G169
53084001,53085200,-140.42438602509856,0.007741449909463434,0.0007375126815531985,G169
53085200,53085300,-11.166573527568914,0.008690299848625679,0.0017171677131671004,G169
53085300,51004150,-56.53955834638339,0.009544701660896989,-0.006287972262235542,G169
51004150,53085300,56.53955834638339,0.009544701660896989,0.006963550579179412,G169
53085300,53085200,11.166573527568914,0.008690299848625679,0.004111885027453965,G169
53085200,53084001,140.42438602509856,0.007741449909463434,0.015699524323963487,G169
53084001,53085100,150.51535485188097,0.006665786819198914,-0.009745050037992087,G169
53085100,53002550,-42.54497388268268,0.006121335396876482,-0.003166073184942775,G169
53002550,53085100,42.54497388268268,0.006121335396876482,0.00563366850328606,G169
53085100,53083900,-19.655869857270346,0.0058462114371842875,0.0042632095552122,G169
53083900,53083800,-12.141955406107087,0.005238585607468004,-0.0033742428928196233,G169
53083800,53014103,11.409236863956835,0.004156352264421592,0.005328821094778391,G169
53002550,53084200,-114.46195684495973,0.006402396444482102,-0.009458360327201376,G169
