P1,P2,DC,Err
53001900,53013500,1.0266023116253962,0.0035388363296017435
53019100,53018801,45.91552626061814,0.00935155266042479
53010100,53010200,30.787693797614423,0.00908498618491352
53003700,53003903,134.52167564185535,0.01091042627289805
53085900,10236600,-73.88826422630515,0.009875248515368694
10236600,91022200,253.23414801355068,0.010591891083651033
53082400,53082300,32.94950775327109,0.0075417347710441205
91015100,91024001,-12.29177130810001,0.006977855549229382
53009600,53009900,-121.18195830283945,0.009321152780121574
53007501,53007300,-11.658625883482586,0.006956369541066375
53081900,53081800,1.8263650060734875,0.006087605399834421
53018301,53011401,-128.85155808939902,0.008559877019347614
53000400,53000600,-35.938856501966384,0.006673030017961368
10124502,10124500,97.92594345556435,0.00875002669927826
10124502,10124501,0.048792205965810354,0.008748387292009146
53085600,10124502,35.027842560693244,0.007866312705546793
53081400,53081300,-75.16137617233501,0.0072197608664992105
53012201,51039700,-0.05536723380407693,0.00837837477387629
53011001,53010901,8.388843628744894,0.007843947802902321
53008601,53085900,-55.36312337634705,0.009653459357114471
53081700,53080800,-50.097345025878866,0.007091186576108053
53080800,53080900,-38.838587398268146,0.0072091182247147724
53018301,53010401,41.50637945881468,0.008545770461435922
53016501,53014502,-33.01965349562593,0.0066051199270387205
91024001,53014502,-8.537005922714712,0.0067140737624022725
53082701,53082601,-14.791514738275339,0.006788758629937838
10125802,10125803,5.834908310665142,0.012496341424541058
53016300,53016400,-25.534961214526703,0.006505489917515489
53080300,53080400,19.32129264483109,0.006842424197551513
91010701,51013100,0.8353929911739328,0.014152527348430461
53014103,53014000,-1.7545317380900372,0.004036618774005304
53084400,53084500,-194.6940872391334,0.006608617861078719
53007601,53007700,42.656174856040394,0.009339308196631386
91010900,91010801,179.34981593030184,0.0130739884802513
91014900,91014902,-93.7480853608991,0.009899812750189602
53018801,53005301,-105.7122063738605,0.008891104960298445
53085300,51004150,-56.54068251191529,0.009285256662388598
53011702,53011802,-27.738669323948443,0.009401484516723558
53005301,53005601,37.24780467122554,0.00835025845302587
91024200,10123000,3.720425610625284,0.012532242545599223
53083900,53085100,19.656831226448617,0.005693908312617165
53097302,53002500,15.584222944868202,0.007860747001192669
53018101,53013000,-72.18773350519515,0.007145664963317187
53004301,53004501,-85.43444406893497,0.01097786742746436
53003101,10525200,6.137794787812766,0.01013907557939635
53082900,53083000,-2.306015795087717,0.004641076220961504
53016801,10106901,159.54117269794614,0.01006306936501898
10106901,53008601,-110.00656343537763,0.009909891152908532
10215700,53004600,-22.952932580832794,0.01075586050050451
53019002,53018900,222.83621653694385,0.010074884019676567
10632802,10104601,-47.28666168934535,0.005189473154909656
53018900,53019100,-85.6789532770064,0.009743643625389011
53082500,53082400,1.4469502764801234,0.007581417438909997
53014600,53005601,-4.042799598119302,0.007711004908720285
53080100,53080201,21.57698354755985,0.006922535201721043
53016600,53013801,-70.91984708343341,0.006408118827636604
53011502,53011601,-35.73479312931124,0.009141162143915227
10129210,10129200,9.125479405948198,0.008862082479650901
53085100,53002550,-42.545111008455976,0.005960861578342718
53002550,53084200,-114.46275763551634,0.00623423317458288
53081500,53081400,-7.631834997066505,0.006899181084229862
53002550,91024300,-31.201871685243276,0.006303354210415187
53097302,10129210,14.046553859116386,0.007992234940968925
53004600,53004700,-30.743476043164264,0.010577498977815049
53008702,53009500,33.66464813476668,0.009276901103378936
