P1,P2,DC,Err,res,meter
10119201,11003021,-19.802859936503296,0.011100276944623443,-0.0022528583616931996,C098
11003021,13064121,-90.00080071786209,0.011393311156116314,0.01086657276810854,C098
13064121,13064220,107.99417088710362,0.011532759777956772,-0.0040605917386074,C098
13064220,13064320,-1.7935245976611895,0.011099856892838919,0.006534320725525511,C098
13064320,13064021,27.00016000373091,0.01116306704255024,-0.008039713943407634,C098
13064021,13062920,124.19540088296506,0.011650371239804417,-0.0007510910280501548,C098
13062920,13062822,100.79961662177482,0.011462100250160753,-0.008951033975336031,C098
13062822,13062721,-154.7985771019801,0.01180589333306694,0.003561115819564975,C098
13062721,13062620,-52.20580910364532,0.012749422913531951,0.005421452278582706,C098
13062620,13062520,-23.393515742123725,0.013274428182079972,-0.0017910127734985792,C098
13062520,13062420,-5.393031829412507,0.013431471763003869,-8.758907677197669e-05,C098
13062420,13062320,50.396769497118896,0.0132336540562518,0.00761390775205939,C098
13062320,11090102,-32.40602290351575,0.012664107004875963,0.00028906626017999315,C098
11090102,13062320,32.40602290351575,0.012664107004875963,-0.001349670541856085,C098
13062320,13062420,-50.396769497118896,0.0132336540562518,0.005975170949376718,C098
13062420,13062520,5.393031829412507,0.013431471763003869,-0.0017263258791535563,C098
13062520,13062620,23.393515742123725,0.013274428182079972,-0.0034297495762807273,C098
13062620,13062721,52.20580910364532,0.012749422913531951,0.00378271547641873,C098
13062721,13062822,154.7985771019801,0.01180589333306694,0.0019223790172873123,C098
13062822,13062920,-100.79961662177482,0.011462100250160753,-0.008050511488889356,C098
13062920,13064021,-124.19540088296506,0.011650371239804417,0.00014943145752965847,C098
13064021,13064320,-27.00016000373091,0.01116306704255024,-0.007139191458133354,C098
13064320,13064220,1.7935245976611895,0.011099856892838919,0.006185657566907032,C098
13064220,13064121,-107.99417088710362,0.011532759777956772,-0.004409254896572179,C098
13064121,11003021,90.00080071786209,0.011393311156116314,0.010517909610854304,C098
11003021,10119201,19.802859936503296,0.011100276944623443,-0.0019184177388957835,C098
10119201,11002802,-135.00493652494998,0.01057665735282783,-0.0014242475513697173,C098
11002802,11019620,-100.8021904957049,0.00919317215308231,-0.001380315849800695,C098
11019620,11019721,32.4042798443204,0.007958087010566136,-0.0025994677619536333,C098
11019721,11000220,-41.40244157976042,0.007177073869498032,-0.010827210968592738,C098
11000220,11004021,3.589899397794511,0.008136622668720363,-0.0032861133089441275,C098
11004021,11010420,37.80688944541225,0.010264320129601844,0.008210102541319486,C098
11010420,11010320,-12.597224013812593,0.011432550161579538,-0.0023291332367687545,C098
11010320,11010922,16.204564927188585,0.011927502458917001,-0.00023534833350069562,C098
11010922,13008320,25.195966662589456,0.011835090820033591,0.0009718575355286418,C098
13008320,13008420,-1.7987941050108134,0.011817588477912982,0.010863594154288947,C098
13008420,13008520,7.2040535502441685,0.011728979003885323,-0.0012111329355137812,C098
13008520,13008420,-7.2040535502441685,0.011728979003885323,-0.003716494692178607,C098
13008420,13008320,1.7987941050108134,0.011817588477912982,0.008358232398171905,C098
13008320,13008220,-3.6023515843565406,0.011882102604984674,-0.00865614183505281,C098
13008220,13008123,1.8057223199227792,0.012465791818858755,-0.005817237956451393,C098
13008123,13008022,50.39158183211475,0.012946045064081335,0.004466667460611973,C098
13008022,13008123,-50.39158183211475,0.012946045064081335,0.0031536671530858484,C098
13008123,13008220,-1.8057223199227792,0.012465791818858755,-0.00713023826394199,C098
13008220,13013632,48.603215261171385,0.012662856247362986,-0.0068294051027635305,C098
13013632,13015015,-0.0008676384386490099,0.013424514462568118,-0.0008883546840441868,C098
13015015,13013520,-16.199061051562012,0.013632027449042882,0.010927793993399604,C098
13013520,13008721,37.79609279413438,0.013310092355585468,-0.009516037315940196,C098
13008721,13008622,-59.397022718803896,0.012830035969087022,-0.009099516038730826,C098
13008622,13008520,-1.7947456169113138,0.012069503320644432,0.007321038036162353,C098
13008520,13008622,1.7947456169113138,0.012069503320644432,0.009834702028166609,C098
13008622,13008721,59.397022718803896,0.012830035969087022,-0.006585852046967489,C098
13008721,13013520,-37.79609279413438,0.013310092355585468,-0.007964256843351336,C098
13013520,13015015,16.199061051562012,0.013632027449042882,0.012479574466340182,C098
13015015,13013632,0.0008676384386490099,0.013424514462568118,0.00066342578790397,C098
13013632,13008220,-48.603215261171385,0.012662856247362986,-0.00527762463033099,C098
13008220,13008320,3.6023515843565406,0.011882102604984674,-0.008417361670028711,C098
13008320,11010922,-25.195966662589456,0.011835090820033591,-0.0012947240549578964,C098
11010922,10100200,5.4075172791626755,0.013115842354379325,0.0019361451097434923,C098
10100200,11010922,-5.4075172791626755,0.013115842354379325,0.001936145109886489,C098
11010922,11010320,-16.204564927188585,0.011927502458917001,-0.002501929925525559,C098
11010320,11010420,12.597224013812593,0.011432550161579538,-0.0045957148281896565,C098
11010420,11004021,-37.80688944541225,0.010264320129601844,0.005943520950012271,C098
11004021,11000220,-3.589899397794511,0.008136622668720363,-0.005552694900424093,C098
11000220,11010124,-5.384410969446549,0.008114221628777039,-0.0031508195072840195,C098
11010124,11010223,-7.210478972217402,0.010170594585423293,-0.0014145068584499043,C098
11010223,11010520,52.21371522026561,0.011206888973187076,-0.0033180479920034145,C098
11010520,13008520,35.986530585803905,0.01149268598937886,-8.98270281055602e-05,C098
13008520,11010520,-35.986530585803905,0.01149268598937886,0.0024598378648903463,C098
11010520,11010223,-52.21371522026561,0.011206888973187076,-0.0007683830990856677,C098
11010223,11010124,7.210478972217402,0.010170594585423293,0.001135158034450079,C098
11010124,11000220,5.384410969446549,0.008114221628777039,-0.0006011546149586877,C098
11000220,11001020,-27.000375754891934,0.007882000026310301,0.001515692024312898,C098
11001020,11002400,27.001258511281776,0.009540713245133151,-0.003883320959403136,C098
11002400,11001020,-27.001258511281776,0.009540713245133151,-0.0066835199678649815,C098
11001020,11017520,3.595841769579579,0.010053040050091498,0.009573379956643091,C098
11017520,13060420,48.605444602792886,0.011612229941458255,-0.0014404097718596631,C098
13060420,12017626,109.79110729193997,0.012520406701542294,-0.002355062777851913,C098
12017626,12000525,-19.806903243012357,0.012929930569408447,0.004188419965892365,C098
12000525,12021420,-17.984939766004345,0.01336059643484815,0.0005085422187676159,C098
12021420,13060526,-21.602065067654337,0.013788003516413596,-0.0025733217368006933,C098
13060526,13060620,-8.99669803916072,0.013742782871931774,0.006021588110698417,C098
13060620,13060720,12.594898453332064,0.013224181727130994,-0.0015309674827967967,C098
13060720,13008520,-3.5909543825152355,0.012166963157301886,0.006498114416398693,C098
13008520,13060720,3.5909543825152355,0.012166963157301886,0.003940147287074147,C098
13060720,13060620,-12.594898453332064,0.013224181727130994,-0.004088934612198614,C098
13060620,13060526,8.99669803916072,0.013742782871931774,0.003463620981689175,C098
13060526,12021420,21.602065067654337,0.013788003516413596,-0.005131288865182881,C098
12021420,12000525,17.984939766004345,0.01336059643484815,-0.00204942491041038,C098
12000525,12013025,1.8058709308986636,0.013518031216468404,-0.004543066963067277,C098
12013025,12012820,-35.99882067770574,0.014186344680215164,-0.007760661178956241,C098
12012820,12012721,18.004769090259003,0.01435621583817136,0.011223249600746499,C098
12012721,13008821,28.79520685075522,0.014122310844070503,-0.003554108118844823,C098
13008821,13008721,9.004983339505486,0.013461331199852586,0.004148532874074462,C098
13008721,13008821,-9.004983339505486,0.013461331199852586,0.005110416394259687,C098
13008821,12012721,-28.79520685075522,0.014122310844070503,-0.00259222459941455,C098
12012721,12012820,-18.004769090259003,0.01435621583817136,0.012185133120759417,C098
12012820,12013025,35.99882067770574,0.014186344680215164,-0.006798777659007271,C098
12013025,12000525,-1.8058709308986636,0.013518031216468404,-0.0035811834428589595,C098
12000525,12017626,19.806903243012357,0.012929930569408447,0.002592336356332936,C098
12017626,13060420,-109.79110729193997,0.012520406701542294,-0.003951146386853566,C098
13060420,11017520,-48.605444602792886,0.011612229941458255,-0.003036493381095795,C098
11017520,11001020,-3.595841769579579,0.010053040050091498,0.007977296348105956,C098
11001020,11000220,27.000375754891934,0.007882000026310301,-0.0028805905943762866,C098
